#Resource; Grinding_harvest_limit; Field_harvest_capacity; Field_hour_capacity; Harvester_hour_capacity
Harvester_41;0;0;0;29
Harvester_42;0;0;0;34
Harvester_43;0;0;0;28
Harvester_44;0;0;0;35
Harvester_45;0;0;0;35
Harvester_46;0;0;0;26
Harvester_47;0;0;0;31
Harvester_48;0;0;0;36
Harvester_49;0;0;0;32
Harvester_50;0;0;0;29
Harvester_51;0;0;0;32
Harvester_52;0;0;0;25
Harvester_53;0;0;0;28
Harvester_54;0;0;0;32
Harvester_55;0;0;0;29
Harvester_56;0;0;0;36
Harvester_57;0;0;0;35
Harvester_58;0;0;0;31
Harvester_59;0;0;0;36
Harvester_60;0;0;0;25
Harvester_61;0;0;0;34
Harvester_62;0;0;0;25
Harvester_63;0;0;0;26
Harvester_64;0;0;0;30
Harvester_65;0;0;0;36
Harvester_66;0;0;0;34
Harvester_67;0;0;0;31
Harvester_68;0;0;0;28
Harvester_69;0;0;0;27
Harvester_70;0;0;0;34
Harvester_71;0;0;0;33
Harvester_72;0;0;0;27
Harvester_73;0;0;0;30
Harvester_74;0;0;0;33
Harvester_75;0;0;0;27
Harvester_76;0;0;0;26
Harvester_77;0;0;0;31
Harvester_78;0;0;0;36
Harvester_79;0;0;0;27
Harvester_80;0;0;0;27
Harvester_81;0;0;0;25
Harvester_82;0;0;0;25
Harvester_83;0;0;0;28
Harvester_84;0;0;0;35
Harvester_85;0;0;0;36
Harvester_86;0;0;0;26
Harvester_87;0;0;0;36
Harvester_88;0;0;0;36
Harvester_89;0;0;0;31
Harvester_90;0;0;0;26
Harvester_91;0;0;0;27
Harvester_92;0;0;0;31
Harvester_93;0;0;0;29
Harvester_94;0;0;0;25
Harvester_95;0;0;0;31
Harvester_96;0;0;0;25
Harvester_97;0;0;0;34
Harvester_98;0;0;0;27
Harvester_99;0;0;0;31
Harvester_100;0;0;0;34
Harvester_101;0;0;0;35
Harvester_102;0;0;0;27
Harvester_103;0;0;0;32
Harvester_104;0;0;0;28
Harvester_105;0;0;0;28
Harvester_106;0;0;0;30
Harvester_107;0;0;0;35
Harvester_108;0;0;0;29
Harvester_109;0;0;0;30
Harvester_110;0;0;0;25
Harvester_111;0;0;0;29
Harvester_112;0;0;0;29
Harvester_113;0;0;0;30
Harvester_114;0;0;0;32
Harvester_115;0;0;0;27
Harvester_116;0;0;0;35
Harvester_117;0;0;0;30
Harvester_118;0;0;0;34
Harvester_119;0;0;0;29
Harvester_120;0;0;0;34
Harvester_121;0;0;0;32
Harvester_122;0;0;0;35
Harvester_123;0;0;0;28
Harvester_124;0;0;0;25
Harvester_125;0;0;0;25
Harvester_126;0;0;0;33
Harvester_127;0;0;0;25
Harvester_128;0;0;0;35
Harvester_129;0;0;0;29
Harvester_130;0;0;0;26
Harvester_131;0;0;0;26
Harvester_132;0;0;0;34
Harvester_133;0;0;0;31
Harvester_134;0;0;0;36
Harvester_135;0;0;0;27
Harvester_136;0;0;0;32
Harvester_137;0;0;0;35
Harvester_138;0;0;0;27
Harvester_139;0;0;0;26
Harvester_140;0;0;0;26
Harvester_141;0;0;0;29
Harvester_142;0;0;0;35
Harvester_143;0;0;0;27
Harvester_144;0;0;0;27
Harvester_145;0;0;0;30
Harvester_146;0;0;0;32
Harvester_147;0;0;0;33
Harvester_148;0;0;0;29
Harvester_149;0;0;0;27
Harvester_150;0;0;0;30
Harvester_151;0;0;0;25
Harvester_152;0;0;0;28
Harvester_153;0;0;0;28
Harvester_154;0;0;0;35
Harvester_155;0;0;0;34
Harvester_156;0;0;0;36
Harvester_157;0;0;0;32
Harvester_158;0;0;0;35
Harvester_159;0;0;0;26
Harvester_160;0;0;0;25
Harvester_161;0;0;0;29
Harvester_162;0;0;0;26
Harvester_163;0;0;0;31
Harvester_164;0;0;0;27
Harvester_165;0;0;0;31
Harvester_166;0;0;0;26
Harvester_167;0;0;0;28
Harvester_168;0;0;0;36
Harvester_169;0;0;0;34
Harvester_170;0;0;0;30
Harvester_171;0;0;0;25
Harvester_172;0;0;0;33
Harvester_173;0;0;0;32
Harvester_174;0;0;0;34
Harvester_175;0;0;0;27
Harvester_176;0;0;0;27
Harvester_177;0;0;0;34
Harvester_178;0;0;0;30
Harvester_179;0;0;0;34
Harvester_180;0;0;0;30
Harvester_181;0;0;0;32
Harvester_182;0;0;0;26
Harvester_183;0;0;0;25
Harvester_184;0;0;0;30
Harvester_185;0;0;0;25
Harvester_186;0;0;0;27
Harvester_187;0;0;0;26
Harvester_188;0;0;0;26
Harvester_189;0;0;0;35
Harvester_190;0;0;0;27
Harvester_191;0;0;0;26
Harvester_192;0;0;0;33
Harvester_193;0;0;0;30
Harvester_194;0;0;0;30
Harvester_195;0;0;0;35
Harvester_196;0;0;0;25
Harvester_197;0;0;0;26
Harvester_198;0;0;0;30
Harvester_199;0;0;0;31
Harvester_200;0;0;0;29
