Origem,Destino,Ditância em KM
Cidade_017,Cidade_025,49
Cidade_018,Cidade_019,34
Cidade_018,Cidade_020,32
Cidade_018,Cidade_021,16
Cidade_018,Cidade_022,71
Cidade_018,Cidade_023,83
Cidade_018,Cidade_024,29
Cidade_018,Cidade_025,19
Cidade_019,Cidade_020,92
Cidade_019,Cidade_021,25
Cidade_019,Cidade_022,97
Cidade_019,Cidade_023,2
Cidade_019,Cidade_024,1
Cidade_019,Cidade_025,1
Cidade_020,Cidade_021,93
Cidade_020,Cidade_022,14
Cidade_020,Cidade_023,85
Cidade_020,Cidade_024,8
Cidade_020,Cidade_025,23
Cidade_021,Cidade_022,83
Cidade_021,Cidade_023,38
Cidade_021,Cidade_024,9
Cidade_021,Cidade_025,52
Cidade_022,Cidade_023,82
Cidade_022,Cidade_024,97
Cidade_022,Cidade_025,69
Cidade_023,Cidade_024,81
Cidade_023,Cidade_025,82
Cidade_024,Cidade_025,77
