#Item, Peso, Beneficio
Item_286,786,5
Item_287,190,7
Item_288,36,7
Item_289,492,8
Item_290,484,2
Item_291,981,10
Item_292,742,9
Item_293,909,10
Item_294,732,2
Item_295,726,6
Item_296,379,6
Item_297,325,3
Item_298,205,7
Item_299,343,1
Item_300,379,8
Item_301,482,3
Item_302,652,6
Item_303,679,8
Item_304,249,7
Item_305,150,9
Item_306,103,1
Item_307,985,5
Item_308,374,4
Item_309,44,1
Item_310,151,7
Item_311,432,9
Item_312,363,9
Item_313,833,6
Item_314,806,10
Item_315,493,2
Item_316,857,6
Item_317,383,6
Item_318,793,8
Item_319,62,2
Item_320,930,8
Item_321,297,2
Item_322,470,3
Item_323,638,2
Item_324,569,4
Item_325,126,3
Item_326,81,7
Item_327,36,4
Item_328,511,4
Item_329,777,7
Item_330,151,9
Item_331,457,5
Item_332,201,8
Item_333,197,4
Item_334,597,3
Item_335,471,4
Item_336,421,1
Item_337,856,7
Item_338,853,5
Item_339,930,2
Item_340,373,6
Item_341,585,7
Item_342,223,1
Item_343,587,7
Item_344,251,9
Item_345,312,8
Item_346,534,8
Item_347,545,1
Item_348,972,8
Item_349,79,9
Item_350,707,5
Item_351,403,6
Item_352,621,4
Item_353,215,10
Item_354,8,10
Item_355,198,7
Item_356,964,7
Item_357,860,5
Item_358,744,5
Item_359,57,9
Item_360,654,8
Item_361,702,9
Item_362,9,6
Item_363,886,2
Item_364,823,1
Item_365,633,10
Item_366,518,9
Item_367,412,8
Item_368,363,10
Item_369,88,8
Item_370,174,1
Item_371,249,2
Item_372,143,9
Item_373,806,6
Item_374,738,8
Item_375,986,9
Item_376,652,9
Item_377,474,7
Item_378,517,2
Item_379,91,7
Item_380,801,1
Item_381,344,6
Item_382,657,1
Item_383,62,8
Item_384,609,8
Item_385,443,4
Item_386,302,4
Item_387,601,4
Item_388,999,1
Item_389,393,8
Item_390,155,2
Item_391,500,6
Item_392,961,10
Item_393,94,8
Item_394,852,9
Item_395,578,6
Item_396,614,9
Item_397,584,3
Item_398,668,1
Item_399,703,4
Item_400,419,10
Item_401,454,9
Item_402,477,6
Item_403,936,3
Item_404,17,5
Item_405,234,9
Item_406,760,4
Item_407,426,10
Item_408,135,1
Item_409,249,9
Item_410,10,4
Item_411,58,2
Item_412,542,3
Item_413,71,6
Item_414,675,3
Item_415,786,3
Item_416,28,7
Item_417,969,5
Item_418,861,1
Item_419,856,7
Item_420,151,1
Item_421,477,2
Item_422,961,9
Item_423,960,3
Item_424,775,9
Item_425,326,5
Item_426,631,10
Item_427,299,7
Item_428,107,4
Item_429,362,9
Item_430,717,7
Item_431,719,8
Item_432,572,2
Item_433,391,8
Item_434,882,1
Item_435,308,2
Item_436,183,10
Item_437,296,6
Item_438,328,7
Item_439,247,4
Item_440,793,10
Item_441,79,9
Item_442,387,3
Item_443,631,9
Item_444,595,2
Item_445,534,2
Item_446,37,2
Item_447,297,5
Item_448,607,8
Item_449,621,5
Item_450,842,3
Item_451,90,8
Item_452,878,10
Item_453,949,1
Item_454,153,2
Item_455,373,4
Item_456,709,9
Item_457,254,2
Item_458,143,10
Item_459,338,3
Item_460,38,3
Item_461,196,10
Item_462,297,8
Item_463,602,5
Item_464,571,4
Item_465,124,10
Item_466,756,4
Item_467,898,6
Item_468,777,5
Item_469,565,6
Item_470,325,9
Item_471,825,2
Item_472,625,5
Item_473,417,2
Item_474,814,5
Item_475,537,2
Item_476,365,2
Item_477,346,10
Item_478,744,7
Item_479,758,6
Item_480,281,8
Item_481,621,5
Item_482,527,4
Item_483,233,1
Item_484,137,6
Item_485,899,9
Item_486,627,2
Item_487,847,3
Item_488,426,9
Item_489,370,8
Item_490,947,10
Item_491,948,10
Item_492,316,1
Item_493,146,1
Item_494,600,4
Item_495,993,1
Item_496,346,2
Item_497,959,7
Item_498,957,8
Item_499,15,3
Item_500,346,8
Item_501,440,6
Item_502,586,3
Item_503,376,4
Item_504,96,2
Item_505,623,9
Item_506,430,2
Item_507,110,8
Item_508,818,5
Item_509,408,7
Item_510,544,2
Item_511,656,10
Item_512,374,3
Item_513,78,9
Item_514,658,2
Item_515,939,4
Item_516,861,7
Item_517,462,8
Item_518,447,9
Item_519,492,1
Item_520,592,9
Item_521,15,3
Item_522,68,6
Item_523,127,4
Item_524,47,4
Item_525,568,10
Item_526,198,8
Item_527,589,7
Item_528,468,8
Item_529,378,9
Item_530,810,9
Item_531,165,8
Item_532,463,9
Item_533,674,6
Item_534,944,1
Item_535,122,4
Item_536,337,8
Item_537,51,2
Item_538,279,5
Item_539,437,3
Item_540,293,7
Item_541,785,4
Item_542,225,2
Item_543,210,3
Item_544,863,1
Item_545,856,10
Item_546,180,7
Item_547,945,10
Item_548,699,4
Item_549,609,2
Item_550,663,8
Item_551,605,7
Item_552,943,4
Item_553,72,3
Item_554,120,7
Item_555,725,5
Item_556,190,5
Item_557,979,1
Item_558,477,5
Item_559,609,2
Item_560,70,8
Item_561,379,10
Item_562,362,8
Item_563,687,7
Item_564,294,9
Item_565,932,1
Item_566,595,4
Item_567,42,8
Item_568,299,2
Item_569,941,7
Item_570,716,6
Item_571,855,9
Item_572,153,3
Item_573,938,10
Item_574,766,5
Item_575,952,3
Item_576,768,5
Item_577,831,6
Item_578,644,2
Item_579,366,10
Item_580,145,6
Item_581,288,4
Item_582,388,6
Item_583,657,1
Item_584,996,1
Item_585,178,6
Item_586,392,5
Item_587,177,3
Item_588,266,4
Item_589,356,5
Item_590,36,8
Item_591,836,5
Item_592,614,6
Item_593,887,1
Item_594,212,4
Item_595,950,10
Item_596,536,3
Item_597,930,10
Item_598,589,5
Item_599,196,2
Item_600,880,1
Item_601,634,3
Item_602,55,8
Item_603,256,10
Item_604,620,1
Item_605,809,8
Item_606,567,4
Item_607,754,8
Item_608,56,4
Item_609,519,2
Item_610,462,1
Item_611,622,6
Item_612,470,6
Item_613,63,3
Item_614,954,6
Item_615,31,8
Item_616,885,7
Item_617,122,9
Item_618,669,6
Item_619,108,10
Item_620,932,4
Item_621,7,3
Item_622,226,9
Item_623,370,9
Item_624,321,7
Item_625,625,7
Item_626,400,2
Item_627,955,1
Item_628,960,1
Item_629,670,3
Item_630,587,8
Item_631,815,4
Item_632,378,8
Item_633,955,10
Item_634,180,7
Item_635,910,7
Item_636,257,10
Item_637,883,5
Item_638,688,4
Item_639,709,8
Item_640,873,1
Item_641,618,1
Item_642,554,10
Item_643,87,10
Item_644,688,3
Item_645,426,9
Item_646,854,5
Item_647,352,2
Item_648,337,4
Item_649,701,8
Item_650,654,6
Item_651,801,9
Item_652,920,2
Item_653,700,2
Item_654,505,1
Item_655,803,7
Item_656,736,3
Item_657,948,8
Item_658,680,6
Item_659,450,9
Item_660,227,5
Item_661,616,2
Item_662,644,6
Item_663,224,5
Item_664,818,8
Item_665,388,1
Item_666,804,2
Item_667,35,1
Item_668,813,7
Item_669,863,2
Item_670,79,2
Item_671,377,8
Item_672,616,2
Item_673,814,6
Item_674,294,3
Item_675,217,6
Item_676,423,6
Item_677,710,10
Item_678,485,1
Item_679,939,6
Item_680,711,2
Item_681,138,4
Item_682,824,7
Item_683,739,1
Item_684,875,3
Item_685,397,4
Item_686,696,5
Item_687,757,3
Item_688,567,2
Item_689,758,5
Item_690,828,2
Item_691,345,2
Item_692,343,10
Item_693,616,5
Item_694,233,5
Item_695,390,6
Item_696,913,9
Item_697,897,2
Item_698,797,7
Item_699,502,2
Item_700,392,5
Item_701,108,9
Item_702,695,6
Item_703,981,8
Item_704,840,10
Item_705,951,5
Item_706,434,9
Item_707,642,5
Item_708,169,5
Item_709,456,4
Item_710,215,7
Item_711,628,8
Item_712,789,8
Item_713,196,9
Item_714,200,10
Item_715,605,7
Item_716,725,6
Item_717,883,6
Item_718,58,8
Item_719,886,7
Item_720,179,4
Item_721,618,2
Item_722,536,9
Item_723,45,8
Item_724,20,7
Item_725,865,10
Item_726,28,7
Item_727,56,1
Item_728,203,10
Item_729,493,2
Item_730,287,5
Item_731,203,2
Item_732,786,10
Item_733,712,9
Item_734,158,8
Item_735,205,1
Item_736,698,7
Item_737,106,1
Item_738,163,7
Item_739,220,10
Item_740,61,8
Item_741,506,4
Item_742,363,2
Item_743,434,8
Item_744,480,1
Item_745,595,9
Item_746,127,5
Item_747,195,4
Item_748,93,1
Item_749,486,8
Item_750,818,10
Item_751,781,1
Item_752,408,9
Item_753,484,6
Item_754,140,2
Item_755,893,9
Item_756,980,4
Item_757,895,7
Item_758,729,1
Item_759,62,8
Item_760,437,10
Item_761,463,3
Item_762,272,5
Item_763,245,1
Item_764,170,7
Item_765,203,2
Item_766,547,10
Item_767,646,8
Item_768,923,7
Item_769,800,10
Item_770,943,1
Item_771,924,4
Item_772,828,10
Item_773,705,9
Item_774,759,4
Item_775,557,10
Item_776,964,8
Item_777,230,3
Item_778,418,7
Item_779,385,7
Item_780,856,10
Item_781,351,3
Item_782,887,2
Item_783,285,2
Item_784,429,10
Item_785,221,3
Item_786,510,10
Item_787,512,5
Item_788,959,9
Item_789,272,1
Item_790,303,4
Item_791,524,4
Item_792,692,7
Item_793,563,7
Item_794,127,4
Item_795,167,2
Item_796,26,7
Item_797,741,4
Item_798,16,4
Item_799,473,3
Item_800,891,9
Item_801,185,9
Item_802,880,5
Item_803,998,6
Item_804,604,1
Item_805,392,3
Item_806,470,6
Item_807,984,1
Item_808,869,7
Item_809,76,8
Item_810,777,9
Item_811,981,9
Item_812,842,1
Item_813,629,5
Item_814,303,5
Item_815,580,2
Item_816,369,2
Item_817,80,4
Item_818,464,6
Item_819,187,7
Item_820,766,9
Item_821,100,2
Item_822,408,5
Item_823,648,2
Item_824,907,3
Item_825,576,5
Item_826,895,1
Item_827,733,5
Item_828,909,6
Item_829,475,6
Item_830,147,1
Item_831,897,4
Item_832,622,7
Item_833,859,2
Item_834,813,2
Item_835,585,8
Item_836,613,4
Item_837,531,7
Item_838,420,1
Item_839,959,4
Item_840,373,9
Item_841,5,4
Item_842,802,10
Item_843,329,7
Item_844,2,1
Item_845,847,6
Item_846,558,6
Item_847,698,6
Item_848,670,1
Item_849,340,2
Item_850,565,3
Item_851,394,2
Item_852,371,8
Item_853,583,10
Item_854,229,3
Item_855,143,3
Item_856,226,5
Item_857,512,8
Item_858,217,10
Item_859,383,1
Item_860,886,5
Item_861,234,3
Item_862,372,1
Item_863,882,3
Item_864,782,9
Item_865,929,8
Item_866,287,10
Item_867,808,2
Item_868,180,8
Item_869,200,10
Item_870,399,9
Item_871,139,2
Item_872,355,3
Item_873,317,1
Item_874,687,9
Item_875,887,8
Item_876,652,1
Item_877,309,2
Item_878,52,6
Item_879,274,7
Item_880,302,5
Item_881,717,1
Item_882,916,2
Item_883,147,4
Item_884,32,10
Item_885,285,4
Item_886,640,3
Item_887,488,6
Item_888,287,9
Item_889,352,4
Item_890,908,9
Item_891,379,8
Item_892,995,9
Item_893,595,7
Item_894,478,5
Item_895,99,5
Item_896,498,8
Item_897,768,1
Item_898,621,8
Item_899,308,5
Item_900,670,7
Item_901,780,10
Item_902,425,10
Item_903,912,6
Item_904,24,2
Item_905,516,7
Item_906,36,3
Item_907,317,10
Item_908,587,10
Item_909,861,6
Item_910,649,4
Item_911,674,1
Item_912,945,9
Item_913,582,2
Item_914,122,3
Item_915,899,1
Item_916,938,2
Item_917,332,1
Item_918,232,6
Item_919,994,4
Item_920,411,6
Item_921,81,3
Item_922,212,6
Item_923,867,7
Item_924,945,3
Item_925,741,2
Item_926,445,1
Item_927,762,9
Item_928,596,4
Item_929,307,8
Item_930,359,5
Item_931,649,3
Item_932,821,9
Item_933,366,7
Item_934,757,8
Item_935,525,5
Item_936,41,8
Item_937,384,10
Item_938,232,2
Item_939,80,9
Item_940,13,5
Item_941,440,5
Item_942,793,1
Item_943,5,7
Item_944,773,8
Item_945,805,4
Item_946,855,6
Item_947,132,6
Item_948,184,6
Item_949,138,10
Item_950,425,4
Item_951,481,5
Item_952,632,9
Item_953,414,9
Item_954,192,2
Item_955,558,1
Item_956,152,5
Item_957,179,10
Item_958,157,7
Item_959,103,1
Item_960,552,10
Item_961,157,4
Item_962,117,1
Item_963,296,5
Item_964,358,4
Item_965,321,6
Item_966,724,10
Item_967,402,6
Item_968,410,8
Item_969,528,6
Item_970,103,5
Item_971,755,5
Item_972,704,7
Item_973,891,1
Item_974,258,7
Item_975,858,7
Item_976,998,8
Item_977,860,5
Item_978,300,4
Item_979,836,8
Item_980,725,6
Item_981,768,4
Item_982,155,4
Item_983,729,1
Item_984,581,2
Item_985,171,10
Item_986,921,1
Item_987,65,9
Item_988,348,9
Item_989,978,6
Item_990,471,6
Item_991,434,7
Item_992,447,4
Item_993,370,7
Item_994,384,3
Item_995,560,5
Item_996,916,4
Item_997,61,9
Item_998,692,7
Item_999,383,4
Item_1000,852,9
